Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
Jeneponto,6.75
Takalar,7.64
Gowa,8.4
Sinjai,7.79
Maros,8.02
Pangkajene dan Kepulauan,8.05
Barru,8.25
Bone,7.36
Soppeng,7.96
Wajo,7.16
Sidenreng Rappang,8.04
Pinrang,8.04
Enrekang,8.93
Luwu,8.48
Tana Toraja,8.52
Luwu Utara,7.87
Luwu Timur,8.92
Toraja Utara,8.26
Kota Makasar,11.55
Kota Parepare,10.66
Kota Palopo,11.09
SULAWESI TENGGARA,9.25
Buton,8.25
Muna,8.52
Konawe,9.3
Kolaka,9.06
Konawe Selatan,8.27
Bombana,8.05
Wakatobi,8.5
Kolaka Utara,8.54
Buton Utara,9.11
Konawe Utara,9.53
Kolaka Timur,8.15
Konawe Kepulauan,9.43
Muna Barat,7.6
Buton Tengah,7.33
Buton Selatan,7.64
Kota Kendari,12.52
Kota Baubau,10.92
GORONTALO,8.02
Boalemo,7.03
Gorontalo,7.61
Pohuwato,7.35
Bone Bolango,8.33
Gorontalo Utara,7.16
Kota Gorontalo,10.39
SULAWESI BARAT,8.08
Majene,9.1
Polewali Mandar,7.6
Mamasa,8
Mamuju,8.09
Mamuju Utara / Pasangkayu,8.11
Mamuju Tengah,7.61
MALUKU,10.19
Maluku Tenggara Barat / Kepulauan Tanimbar,9.77
Maluku Tenggara,9.78
Maluku Tengah,9.76
Buru,8.99
Kepulauan Aru,8.87
Seram Bagian Barat,9.24
Seram Bagian Timur,8.71
Maluku Barat Daya,8.77
Buru Selatan,8.06
Kota Ambon,12.21
Kota Tual,10.54
MALUKU UTARA,9.24
Halmahera Barat,8.57
Halmahera Tengah,9.02
Kepulauan Sula,9.02
Halmahera Selatan,8.16
Halmahera Utara,8.63
Halmahera Timur,8.52
Pulau Morotai,7.42
Pulau Taliabu,7.94
Kota Ternate,12.06
Kota Tidore Kepulauan,9.96
PAPUA BARAT,7.84
Fakfak,9.08
Kaimana,8.74
Teluk Wondama,7.2
Teluk Bintuni,8.35
Manokwari,8.45
Sorong Selatan,7.58
Sorong,8.52
Raja Ampat,8.16
Tambrauw,5.64
Maybrat,7.19
Manokwari Selatan,6.9
Pegunungan Arfak,5.34
Kota Sorong,11.32
PAPUA BARAT DAYA,-
Raja Ampat,-
Sorong,-
Sorong Selatan,-
Maybrat,-
Tambrauw,-
Kota Sorong,-
PAPUA,7.02
Merauke,9.04
Jayawijaya,5.74
Jayapura,10.27
Nabire,10.16
Kepulauan Yapen,9.69
Biak Numfor,10.53
Paniai,4.78
