Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan,Gini_Rasio,IPM,Garis_Kemiskinan,Jumlah_Penduduk,Pct_Populasi,Kepadatan_Penduduk,Rasio_Jenis_Kelamin,Laju_Pertumbuhan_Penduduk,Pct_Akses_Air_Bersih,Protein_gram_per_hari,Kalori_kkal_per_hari,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Unemployment_WB,Poverty_Headcount_Pct,Indeks_Kedalaman_Kemiskinan,Total_Kendaraan,NTP,Pct_Kepemilikan_HP,Pct_Sanitasi_Layak,Pct_Pekerja_Formal,Rerata_Lama_Sekolah,Realisasi_Investasi_PMDN
Riau,2021,672142.73,670527.59,1342670.32,2888564.0,4.69,65.42,129740.71,78319.23,7.12,0.155,0.3265,72.94,581382.25,6394.1,2.38,75.0,104.9,2.08,89.76,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.0750000000000002,4230607.0,138.68416666666664,70.57,83.64,45.43,9.19,24997.8
Sulawesi Barat,2021,453030.94,439349.35,892380.3,2678863.0,3.205,70.99,35195.14,22898.21,11.29,0.155,0.361,66.36,374774.25,1419.2,0.53,86.0,103.0,1.66,78.35,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.83,393158.0,122.00999999999999,59.51,80.12,27.2,7.96,395.3
Sulawesi Selatan,2021,533482.09,570614.67,1104096.77,3165876.0,5.755,65.045,59502.64,37501.45,8.78,0.155,0.3795,72.24,380087.5,9073.5,3.35,196.0,98.6,0.97,91.18,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.4449999999999998,4433027.0,98.54916666666664,69.13,91.57,36.76,8.46,12075.4
Sulawesi Tengah,2021,512309.16,539396.49,1051705.66,2303711.0,3.74,68.83,82016.81,49690.23,13.0,0.155,0.321,69.79,503835.5,2985.7,1.11,49.0,105.5,1.62,88.51,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.335,1231203.0,99.69916666666667,61.1,76.06,32.68,8.89,3012.3
Sulawesi Tenggara,2021,509723.28,560769.94,1070493.21,2552015.0,4.07,70.425,52436.02,36570.47,11.66,0.155,0.392,71.66,390046.0,2624.9,0.98,70.0,102.6,1.75,91.94,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.2800000000000002,1057376.0,99.145,68.22,85.62,37.19,9.13,4334.2
Sulawesi Utara,2021,612971.86,598707.81,1211679.67,3310723.0,7.17,62.715,54034.12,34776.43,7.77,0.155,0.362,73.3,413917.5,2621.9,0.97,190.0,104.7,0.85,91.65,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.1400000000000001,992139.0,106.77999999999999,70.32,84.85,39.3,9.62,3480.0
Sumatera Barat,2021,668029.07,613628.96,1281658.04,2484041.0,6.595,68.065,45218.16,31264.98,6.63,0.155,0.303,72.65,573911.0,5534.5,2.05,133.0,101.5,1.1,83.4,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.0,2656691.0,107.59583333333332,65.34,68.68,35.23,9.07,4183.7
Sumatera Selatan,2021,579031.72,517375.56,1096407.27,3144446.0,5.075,69.36,57744.67,38182.24,12.84,0.155,0.3405,70.24,466297.5,8467.4,3.14,93.0,104.0,1.32,84.7,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,2.295,3851524.0,107.78250000000001,64.53,77.29,35.84,8.3,16266.9
Sumatera Utara,2021,607811.56,534905.1,1142716.66,2499423.0,6.17,69.245,57441.93,36582.07,9.01,0.155,0.3135,72.0,529548.5,14799.4,5.48,205.0,100.7,1.23,90.89,62.27881869256759,2143.206471457213,1.56007882983334,12757.0746440204,3.827,10.1,1.4849999999999999,7339034.0,119.04916666666666,65.05,82.02,40.67,9.58,18484.5
Aceh,2022,668480.98,511651.95,1180132.93,3166460.0,6.07,63.825,38767.08,26061.53,14.64,0.45,0.301,72.8,605322.0,5334.9,1.96,95.0,100.9,1.43,89.7,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.6950000000000003,2426809.0,107.45416666666667,62.65,77.48,38.55,9.44,4424.2
