Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan,Gini_Rasio,IPM,Garis_Kemiskinan,Jumlah_Penduduk,Pct_Populasi,Kepadatan_Penduduk,Rasio_Jenis_Kelamin,Laju_Pertumbuhan_Penduduk,Pct_Akses_Air_Bersih,Protein_gram_per_hari,Kalori_kkal_per_hari,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Unemployment_WB,Poverty_Headcount_Pct,Indeks_Kedalaman_Kemiskinan,Total_Kendaraan,NTP,Pct_Kepemilikan_HP,Pct_Sanitasi_Layak,Pct_Pekerja_Formal,Rerata_Lama_Sekolah,Realisasi_Investasi_PMDN
Sulawesi Tengah,2024,644418.0,587035.0,1231453.0,2736698.0,3.045,70.02,120749.57,68000.75,11.77,0.13,0.305,71.56,607779.75,3121.8,1.11,51.0,105.2,1.2,87.86,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.9100000000000001,1548588.0,117.94749999999999,64.32,77.4,34.57,9.04,4772.5
Sulawesi Tenggara,2024,604047.0,623116.0,1227163.0,2885964.0,3.1550000000000002,68.81,67839.91,40811.51,11.21,0.13,0.3675,73.48,472002.75,2793.1,0.99,77.0,102.6,1.67,95.31,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.945,1248430.0,114.04000000000003,71.95,90.62,38.08,9.42,7734.6
Sulawesi Utara,2024,717919.0,664510.0,1382429.0,3545000.0,5.915,63.7,69352.24,39816.39,7.25,0.13,0.3535,75.03,500045.75,2701.8,0.96,186.0,104.3,0.8,94.46,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.1600000000000001,1194850.0,114.1475,71.7,87.31,44.53,9.84,7698.2
Sumatera Barat,2024,797728.0,683125.0,1480853.0,2811449.0,5.77,69.785,57083.09,34169.75,5.97,0.13,0.285,74.49,710938.75,5836.2,2.07,139.0,101.5,1.43,86.85,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,0.735,3083650.0,123.72833333333334,68.45,72.82,37.45,9.44,4488.2
Sumatera Selatan,2024,711510.0,577490.0,1289001.0,3456874.0,3.915,70.225,75131.73,42899.93,10.97,0.13,0.332,72.3,567128.5,8837.3,3.14,102.0,103.7,1.15,87.23,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.67,4410213.0,120.83,67.34,82.36,37.66,8.57,25602.4
Sumatera Utara,2024,734270.0,606687.0,1340957.0,2809915.0,5.35,70.83,73574.62,40576.95,7.99,0.13,0.3015,74.02,641764.5,15588.5,5.54,215.0,100.8,1.4,92.94,61.69974351299111,2051.5374775856003,2.18151273615189,14470.4372020578,3.301,9.0,1.155,8137094.0,136.22333333333333,68.43,85.73,42.65,9.93,21574.0
Aceh,2025,741980.0,557776.0,1299756.0,3685616.0,5.57,65.475,45770.4,28144.6,14.23,0.24333333333333332,0.278,74.03,705310.75,5554.8,1.98,99.0,100.9,1.37,92.06,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.9500000000000002,2898834.0,123.45666666666666,64.64,82.21,36.09,9.95,8883.3
Bali,2025,827210.0,1137408.0,1964618.0,2996561.0,1.535,77.355,72658.49,39897.4,4.0,0.24333333333333332,0.34299999999999997,77.76,603775.5,4433.3,1.57,798.0,100.4,0.69,98.75,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.5700000000000001,5537916.0,102.11666666666667,75.27,98.2,49.53,9.75,6950.8
Banten,2025,870648.0,879898.0,1750546.0,2905120.0,6.665,65.24,74672.68,44687.83,5.84,0.24333333333333332,0.321,74.48,672989.5,12431.4,4.41,1341.0,103.3,1.1,96.03,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.94,8832646.0,110.49416666666666,71.32,90.71,54.88,9.56,37971.7
Bengkulu,2025,740786.0,757958.0,1498744.0,2670039.0,3.325,71.64,52304.54,26691.13,13.56,0.24333333333333332,0.344,73.39,717305.75,2112.2,0.75,106.0,104.2,1.3,70.47,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.75,1320711.0,202.70333333333335,67.1,85.75,34.83,9.23,7218.7
DI Yogyakarta,2025,766284.0,1076928.0,1843212.0,2264081.0,3.32,74.235,55039.3,34757.17,10.83,0.24333333333333332,0.42,81.55,608897.0,3759.5,1.33,1193.0,97.8,0.64,97.33,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.69,3435091.0,107.34833333333331,72.17,96.94,46.03,,5015.5
DKI Jakarta,2025,1153404.0,1809008.0,2962412.0,5396761.0,6.115,65.075,367687.07,211953.77,4.3,0.24333333333333332,0.432,83.08,875268.0,10684.9,3.75,16155.0,100.8,0.23,99.98,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.53,12279058.0,107.49500000000002,83.43,93.98,63.37,11.59,95202.1
Gorontalo,2025,650308.0,665429.0,1315738.0,3221731.0,3.27,68.405,47476.82,28041.7,14.57,0.24333333333333332,0.3875,71.23,507630.0,1227.8,0.44,103.0,101.6,1.24,95.95,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,2.1799999999999997,601327.0,115.41583333333334,68.06,84.7,38.86,8.38,3960.1
Jambi,2025,775092.0,702013.0,1477104.0,3234535.0,4.37,67.74,92786.06,49245.88,7.1,0.24333333333333332,0.296,73.43,713707.75,3724.3,1.32,77.0,103.2,1.28,82.46,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.905,2996472.0,171.45416666666668,70.2,85.88,42.73,8.95,8939.0
Jawa Barat,2025,832486.0,891881.0,1724367.0,2191232.0,6.755,67.95,59864.61,36354.47,7.46,0.24333333333333332,0.4065,74.43,557084.0,50345.2,17.85,1370.0,102.4,1.06,95.84,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.1549999999999998,28057560.0,114.68249999999999,70.58,76.2,45.05,9.14,88012.9
Jawa Tengah,2025,667536.0,669491.0,1337028.0,2169349.0,4.495,73.765,50823.64,31886.56,10.47,0.24333333333333332,0.3545,73.88,553720.25,37892.3,13.44,1113.0,100.9,0.97,95.73,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.5350000000000001,22320623.0,114.77999999999999,65.47,87.51,41.21,8.15,32987.2
Jawa Timur,2025,715989.0,703152.0,1419140.0,2305985.0,3.745,74.115,80855.92,48443.74,9.79,0.24333333333333332,0.364,74.09,568991.5,41814.5,14.8,876.0,99.4,0.73,97.3,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.35,26699475.0,113.2725,66.23,88.26,38.27,8.39,74937.4
Kalimantan Barat,2025,779641.0,690293.0,1469934.0,2878286.0,4.525,69.27,56983.66,29713.8,6.32,0.24333333333333332,0.312,70.13,647999.75,5695.5,2.03,39.0,105.3,1.33,84.32,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.7949999999999999,3523496.0,169.9425,66.97,88.37,43.61,8.07,14892.0
Kalimantan Selatan,2025,827593.0,775909.0,1603501.0,3496195.0,4.05,70.17,70576.83,38155.38,4.11,0.24333333333333332,0.28400000000000003,73.03,667079.25,4273.4,1.52,116.0,102.2,1.26,78.27,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.515,3359931.0,117.04999999999997,70.93,86.8,46.52,8.81,14909.4
Kalimantan Tengah,2025,849309.0,746856.0,1596165.0,3473621.0,3.72,69.15,84729.84,43718.51,5.17,0.24333333333333332,0.288,72.73,666635.25,2809.7,1.0,19.0,106.5,1.35,80.58,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.72,1888948.0,134.1383333333333,75.71,83.14,49.85,8.96,8779.5
Kalimantan Timur,2025,956141.0,1161212.0,2117354.0,3579314.0,5.255,66.49,208330.9,139811.82,5.78,0.24333333333333332,0.311,78.83,875547.25,4045.9,1.5,34.0,106.8,2.67,88.45,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.855,3817693.0,146.4908333333333,83.1,92.57,56.78,10.1,52171.7
Kalimantan Utara,2025,838916.0,887535.0,1726451.0,3580160.0,3.875,69.37,208210.06,102044.64,6.32,0.24333333333333332,0.256,73.02,895833.0,739.8,0.26,11.0,110.4,1.39,91.59,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.565,411648.0,116.00666666666666,77.5,86.0,51.56,9.44,8199.1
Kepulauan Bangka Belitung,2025,915697.0,849854.0,1765551.0,3876600.0,4.31,68.525,75322.53,40811.39,4.55,0.24333333333333332,0.218,73.33,977835.75,1531.5,0.55,93.0,105.2,1.34,83.54,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.65,1280783.0,151.78083333333333,71.38,96.45,48.71,8.65,7961.4
Kepulauan Riau,2025,1063897.0,1404422.0,2468319.0,3623654.0,6.67,67.535,172458.76,101427.23,5.37,0.24333333333333332,0.3835,77.97,837591.5,2183.3,0.78,268.0,103.1,1.48,94.6,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.645,1687108.0,104.63499999999999,83.9,90.96,65.75,10.72,8856.6
Lampung,2025,663740.0,575873.0,1239613.0,2893070.0,4.14,70.8,55009.07,31127.1,10.69,0.24333333333333332,0.2895,71.81,634998.25,9419.6,3.35,284.0,104.1,1.18,85.13,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.385,4430258.0,129.3383333333333,64.52,87.29,35.28,8.61,7625.8
Maluku,2025,679006.0,719492.0,1398498.0,3141700.0,6.11,67.11,33651.87,19743.62,16.05,0.24333333333333332,0.2845,71.57,780074.75,1945.6,0.69,43.0,102.2,1.35,92.83,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,3.045,445888.0,98.81833333333333,63.44,83.09,33.94,10.51,1904.5
Maluku Utara,2025,749636.0,742896.0,1492532.0,3408000.0,4.405,69.28,97261.6,54439.49,6.32,0.24333333333333332,0.28700000000000003,71.03,693707.25,1355.6,0.48,42.0,105.1,1.45,90.01,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.85,414924.0,106.04666666666667,64.14,84.12,35.49,9.5,6901.0
Nusa Tenggara Barat,2025,762911.0,639207.0,1402118.0,2602931.0,3.14,76.305,33667.41,19706.32,12.91,0.24333333333333332,0.3665,70.93,564968.0,5646.0,2.01,291.0,100.9,1.58,96.29,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.665,2479997.0,125.95666666666666,63.38,88.29,31.58,8.21,30766.2
Nusa Tenggara Timur,2025,559895.0,468980.0,1028875.0,2328970.0,3.27,75.68,25837.48,14310.07,19.48,0.24333333333333332,0.3185,67.39,595715.5,5656.0,2.02,124.0,100.0,1.6,89.86,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,3.12,1220063.0,100.80250000000001,53.96,80.8,31.56,8.22,3407.2
Papua,2025,830864.0,979903.0,1810767.0,4285850.0,6.94,67.18,84305.2,49956.04,17.26,0.24333333333333332,0.4005,73.0,702153.5,4542.6,0.38,13.0,109.4,1.34,87.7,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,4.095,513393.0,104.12666666666667,67.97,76.71,47.12,10.01,1174.1
Papua Barat,2025,878045.0,827294.0,1705338.0,3615000.0,4.38,70.5,139212.56,89651.73,21.66,0.24333333333333332,0.3785,67.02,888751.75,1205.8,0.21,10.0,110.5,1.68,82.95,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,3.46,203160.0,100.60916666666668,68.29,78.55,36.81,8.07,1261.9
Papua Barat Daya,2025,857182.0,959693.0,1816875.0,3614000.0,6.73,68.12,61624.05,40656.59,18.13,0.24333333333333332,0.362,68.63,830401.5,,0.22,16.0,108.5,1.57,80.64,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,3.87,236689.0,101.32833333333332,67.48,79.56,44.34,8.69,
Papua Selatan,2025,805371.0,712048.0,1517419.0,4285850.0,4.47,67.76,64928.23,35853.22,17.44,0.24333333333333332,0.419,67.9,604296.75,,0.19,5.0,107.7,1.44,71.28,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,4.15,191727.0,110.24166666666666,50.08,65.06,34.12,8.64,
Papua Tengah,2025,874847.0,584240.0,1459088.0,4285848.0,3.585,76.43,107565.94,55267.77,29.76,0.24333333333333332,0.3365,59.75,908026.25,,0.52,24.0,113.5,1.49,83.21,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,6.76,283186.0,99.63000000000001,33.7,39.73,15.28,6.13,
Riau,2025,844678.0,765749.0,1610427.0,3508776.0,4.14,65.615,176384.66,87886.74,6.67,0.24333333333333332,0.3055,74.79,737899.0,6728.1,2.39,76.0,104.3,1.34,92.17,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.8300000000000001,5023558.0,190.11083333333337,74.74,91.21,48.0,9.55,48243.3
Sulawesi Barat,2025,575436.0,493877.0,1069314.0,3104430.0,3.015,73.03,46653.64,25617.79,11.21,0.24333333333333332,0.312,68.2,491847.75,1503.2,0.54,92.0,102.7,1.53,83.0,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.8399999999999999,497406.0,138.21583333333334,62.39,85.98,29.37,8.31,2011.1
Sulawesi Selatan,2025,664456.0,694365.0,1358821.0,3657527.0,4.585,66.82,78748.0,43671.27,8.06,0.24333333333333332,0.3565,74.05,497555.75,9463.4,3.36,211.0,98.8,1.11,93.25,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.35,5635308.0,121.67416666666664,70.36,94.19,39.55,9.0,11468.3
Sulawesi Tengah,2025,648896.0,607498.0,1256394.0,2915000.0,2.97,71.455,131642.52,72958.74,11.77,0.24333333333333332,0.278,71.56,647429.25,3121.8,1.11,51.0,105.1,1.18,87.55,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.795,1666183.0,112.13333333333334,64.32,79.62,35.43,9.1,4772.5
Sulawesi Tenggara,2025,650919.0,674166.0,1325085.0,3073552.0,3.29,70.72,72031.18,42510.17,11.21,0.24333333333333332,0.36,73.48,510117.25,2793.1,1.0,78.0,102.6,1.65,94.91,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.75,1336445.0,110.12666666666667,71.95,91.96,38.87,9.56,7734.6
Sulawesi Utara,2025,718423.0,692081.0,1410504.0,3775425.0,6.01,66.255,75234.91,41764.48,7.25,0.24333333333333332,0.342,75.03,541730.0,2701.8,0.96,188.0,104.1,0.79,94.86,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.06,1262494.0,129.00083333333333,71.7,87.72,45.44,9.91,7698.2
Sumatera Barat,2025,821552.0,720558.0,1542109.0,2994193.0,5.655,71.145,59548.83,34854.17,5.97,0.24333333333333332,0.281,74.49,752278.0,5836.2,2.08,140.0,101.5,1.41,87.26,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,0.8,3110612.0,127.94583333333334,68.45,74.59,35.67,9.77,4488.2
Sumatera Selatan,2025,691256.0,592283.0,1283538.0,3681571.0,3.79,70.22,80663.49,44731.49,10.97,0.24333333333333332,0.3045,72.3,604594.75,8837.3,3.14,103.0,103.6,1.12,86.82,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.5899999999999999,4606706.0,127.17666666666666,67.34,85.5,36.87,8.91,25602.4
Sumatera Utara,2025,765842.0,632045.0,1397887.0,2992559.0,5.185,71.21,78310.29,41885.91,7.99,0.24333333333333332,0.289,74.02,688043.25,15588.5,5.55,218.0,100.8,1.37,93.24,62.780285191080964,2073.429529828021,2.18151273615189,14470.4372020578,3.301,9.0,1.015,8385863.0,144.1933333333333,68.43,87.47,42.74,10.08,21574.0
