Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan
Papua Selatan,2024,749474.0,677616.0,1427090.0,4024270.0,4.4,,61621.8,35163.97,17.44,0.13
Papua Tengah,2024,887039.0,600649.0,1487688.0,4024270.0,2.62,,118773.53,71608.13,29.76,0.13
Riau,2024,824229.0,738936.0,1563165.0,3294625.0,3.7750000000000004,,165349.71,84903.25,6.67,0.13
Sulawesi Barat,2024,579734.0,529855.0,1109589.0,2914958.0,2.85,,42717.73,24671.79,11.21,0.13
Sulawesi Selatan,2024,636655.0,646426.0,1283081.0,3434298.0,4.545,,73573.33,41860.47,8.06,0.13
Sulawesi Tengah,2024,644418.0,587035.0,1231453.0,2736698.0,3.045,,120749.57,68000.75,11.77,0.13
Sulawesi Tenggara,2024,604047.0,623116.0,1227163.0,2885964.0,3.1550000000000002,,67839.91,40811.51,11.21,0.13
Sulawesi Utara,2024,717919.0,664510.0,1382429.0,3545000.0,5.915,,69352.24,39816.39,7.25,0.13
Sumatera Barat,2024,797728.0,683125.0,1480853.0,2811449.0,5.77,,57083.09,34169.75,5.97,0.13
Sumatera Selatan,2024,711510.0,577490.0,1289001.0,3456874.0,3.915,,75131.73,42899.93,10.97,0.13
Sumatera Utara,2024,734270.0,606687.0,1340957.0,2809915.0,5.35,,73574.62,40576.95,7.99,0.13
Aceh,2025,741980.0,557776.0,1299756.0,3685616.0,5.57,65.475,45770.4,28144.6,,0.24333333333333332
Bali,2025,827210.0,1137408.0,1964618.0,2996561.0,1.535,77.355,72658.49,39897.4,,0.24333333333333332
Banten,2025,870648.0,879898.0,1750546.0,2905120.0,6.665,65.24,74672.68,44687.83,,0.24333333333333332
Bengkulu,2025,740786.0,757958.0,1498744.0,2670039.0,3.325,71.64,52304.54,26691.13,,0.24333333333333332
DI Yogyakarta,2025,766284.0,1076928.0,1843212.0,2264081.0,3.32,74.235,55039.3,34757.17,,0.24333333333333332
DKI Jakarta,2025,1153404.0,1809008.0,2962412.0,5396761.0,6.115,65.075,367687.07,211953.77,,0.24333333333333332
Gorontalo,2025,650308.0,665429.0,1315738.0,3221731.0,3.27,68.405,47476.82,28041.7,,0.24333333333333332
Jambi,2025,775092.0,702013.0,1477104.0,3234535.0,4.37,67.74,92786.06,49245.88,,0.24333333333333332
Jawa Barat,2025,832486.0,891881.0,1724367.0,2191232.0,6.755,67.95,59864.61,36354.47,,0.24333333333333332
Jawa Tengah,2025,667536.0,669491.0,1337028.0,2169349.0,4.495,73.765,50823.64,31886.56,,0.24333333333333332
Jawa Timur,2025,715989.0,703152.0,1419140.0,2305985.0,3.745,74.115,80855.92,48443.74,,0.24333333333333332
Kalimantan Barat,2025,779641.0,690293.0,1469934.0,2878286.0,4.525,69.27,56983.66,29713.8,,0.24333333333333332
Kalimantan Selatan,2025,827593.0,775909.0,1603501.0,3496195.0,4.05,70.17,70576.83,38155.38,,0.24333333333333332
Kalimantan Tengah,2025,849309.0,746856.0,1596165.0,3473621.0,3.72,69.15,84729.84,43718.51,,0.24333333333333332
Kalimantan Timur,2025,956141.0,1161212.0,2117354.0,3579314.0,5.255,66.49,208330.9,139811.82,,0.24333333333333332
Kalimantan Utara,2025,838916.0,887535.0,1726451.0,3580160.0,3.875,69.37,208210.06,102044.64,,0.24333333333333332
Kepulauan Bangka Belitung,2025,915697.0,849854.0,1765551.0,3876600.0,4.31,68.525,75322.53,40811.39,,0.24333333333333332
Kepulauan Riau,2025,1063897.0,1404422.0,2468319.0,3623654.0,6.67,67.535,172458.76,101427.23,,0.24333333333333332
Lampung,2025,663740.0,575873.0,1239613.0,2893070.0,4.14,70.8,55009.07,31127.1,,0.24333333333333332
Maluku,2025,679006.0,719492.0,1398498.0,3141700.0,6.11,67.11,33651.87,19743.62,,0.24333333333333332
Maluku Utara,2025,749636.0,742896.0,1492532.0,3408000.0,4.405,69.28,97261.6,54439.49,,0.24333333333333332
Nusa Tenggara Barat,2025,762911.0,639207.0,1402118.0,2602931.0,3.14,76.305,33667.41,19706.32,,0.24333333333333332
Nusa Tenggara Timur,2025,559895.0,468980.0,1028875.0,2328970.0,3.27,75.68,25837.48,14310.07,,0.24333333333333332
Papua,2025,830864.0,979903.0,1810767.0,4285850.0,6.94,67.18,84305.2,49956.04,,0.24333333333333332
Papua Barat,2025,878045.0,827294.0,1705338.0,3615000.0,4.38,70.5,139212.56,89651.73,,0.24333333333333332
Papua Barat Daya,2025,857182.0,959693.0,1816875.0,3614000.0,6.73,68.12,61624.05,40656.59,,0.24333333333333332
Papua Selatan,2025,805371.0,712048.0,1517419.0,4285850.0,4.47,67.76,64928.23,35853.22,,0.24333333333333332
Papua Tengah,2025,874847.0,584240.0,1459088.0,4285848.0,3.585,76.43,107565.94,55267.77,,0.24333333333333332
Riau,2025,844678.0,765749.0,1610427.0,3508776.0,4.14,65.615,176384.66,87886.74,,0.24333333333333332
Sulawesi Barat,2025,575436.0,493877.0,1069314.0,3104430.0,3.015,73.03,46653.64,25617.79,,0.24333333333333332
Sulawesi Selatan,2025,664456.0,694365.0,1358821.0,3657527.0,4.585,66.82,78748.0,43671.27,,0.24333333333333332
Sulawesi Tengah,2025,648896.0,607498.0,1256394.0,2915000.0,2.97,71.455,131642.52,72958.74,,0.24333333333333332
Sulawesi Tenggara,2025,650919.0,674166.0,1325085.0,3073552.0,3.29,70.72,72031.18,42510.17,,0.24333333333333332
Sulawesi Utara,2025,718423.0,692081.0,1410504.0,3775425.0,6.01,66.255,75234.91,41764.48,,0.24333333333333332
Sumatera Barat,2025,821552.0,720558.0,1542109.0,2994193.0,5.655,71.145,59548.83,34854.17,,0.24333333333333332
Sumatera Selatan,2025,691256.0,592283.0,1283538.0,3681571.0,3.79,70.22,80663.49,44731.49,,0.24333333333333332
Sumatera Utara,2025,765842.0,632045.0,1397887.0,2992559.0,5.185,71.21,78310.29,41885.91,,0.24333333333333332
