Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BANJARMASIN,0.82,-0.07,0.27,0.97,0.9,0.29,-0.09,0.09,0.06,0.12,0.17,0.57,4.15
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,0.5,0.2,-0.28,0.25,0.75,0.96,-0.08,-0.52,-0.03,-0.69,0.14,0.68,1.88
KOTA SAMARINDA,0.6,-0.18,-0.11,0.07,0.42,0.15,0.59,0.07,-0.46,-0.12,0.27,0.19,1.49
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.96,-0.03,-0.63,0.6,0.77,0.53,-0.64,-0.92,-0.57,-0.3,0.63,1.09,1.47
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,1.09,-0.54,-0.69,-1.27,2.6,3.6,-1.21,-1.5,-1.03,1.22,3.3,-1.88,3.52
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.21,-0.29,-0.45,0.72,0.97,0.96,-0.68,0.31,-0.35,-0.2,0.27,0.83,2.3
BULUKUMBA,0.9,-0.22,-0.16,0.33,0.9,0.08,-0.07,0.28,-0.05,-0.02,0.09,0.18,2.25
WATAMPONE,0.09,-0.6,-0.28,0.39,0.73,0.67,-0.16,0.72,0.01,-0.21,0.26,0.01,1.64
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.54,-0.11,0.28,0.45,0.73,0.05,0.01,0.39,-0.12,0.1,0.04,0.04,2.43
KOTA PARE-PARE,1.14,-0.78,0.15,0.03,1.36,1.06,-0.48,0.04,-0.85,0.03,0.84,-0.1,2.45
KOTA PALOPO,0.04,-0.14,0.05,0.5,0.54,0.86,-0.13,-0.02,0.01,-0.01,0.15,0.05,1.91
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.65,0.03,-0.24,0.46,1.8,2.55,-0.24,-1.56,0.47,-0.59,-0.36,0.26,3.22
KOTA BAU-BAU,0.61,-0.63,-0.1,0.28,0.15,0.47,1.18,-2.1,-0.1,-0.17,0.87,0.92,1.35
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,0.18,-0.68,0.09,0.5,1.64,0.3,-0.02,0.71,-0.34,0.02,0.23,0.21,2.87
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,-0.05,-0.37,-0.18,0.17,0.62,0.16,0.1,0.43,-0.52,0.14,0.23,0.7,1.43
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,0.48,0.15,0.86,-0.16,1.46,0.42,-0.03,-0.18,-0.05,0.28,-0.83,-0.33,2.06
KOTA TUAL,-0.87,2.98,-3.03,0.18,2.91,1.15,-1.55,0.34,0.65,0.01,-0.46,0.15,2.34
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,0.76,-0.24,-0.03,0.34,0.6,0.49,-0.12,0.43,-0.78,0.01,0.42,0.14,2.02
MANOKWARI,1.03,-0.08,0.08,-0.55,2.25,0.38,-0.57,0.81,-0.51,0.88,0.3,0.68,4.76
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.43,-0.81,-0.77,0.13,1.37,0.21,0.63,0.19,0.23,-0.39,-0.86,0.66,1.01
KOTA JAYAPURA,0.26,-0.03,0.26,-0.26,1.13,-0.08,-0.41,-0.14,-1.26,-0.35,0.85,0.66,0.6
MERAUKE,-0.01,-2.11,0.31,1.2,-0.49,0.22,-0.49,-0.18,-0.99,-0.13,1.21,0.86,-0.65
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.32,-0.08,0.11,0.44,0.68,0.55,0.31,0.12,-0.27,0.02,0.14,0.34,2.72
