Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA BANDAR LAMPUNG,0.98,-0.31,0.25,-1.26,-0.37,0.34,0.79,1.33,2.66,-0.23,0.24,-0.25,2.17
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,0.61,-1.06,-0.33,-0.89,0.05,0.09,0.69,0.92,1.51,0.4,-0.76,0.94,1.88
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.01,0.59,0.05,-0.61,0.03,0.15,0.15,0.33,1.27,0.23,-0.2,-0.12,2.49
KOTA TANJUNG PINANG,1.2,0.28,-1.15,-0.74,-0.56,0.58,0.47,0.11,0.7,0.76,-0.28,0.08,1.43
DKI JAKARTA,-0.24,-0.22,0.33,-0.15,0.17,0.13,0.36,0.45,0.91,0.12,-0.05,0.51,2.34
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,-0.34,0.6,0.53,-0.47,0.02,0.18,0.16,0.88,0.66,-0.44,-0.14,0.49,2.16
KOTA SUKABUMI,0.12,0.37,1.18,0.36,-0.08,0.07,0.3,0.5,0.44,-0.08,-0.01,0.26,3.49
KOTA BANDUNG,-0.29,-0.12,0.52,-0.04,-0.2,0.09,0.29,0.5,0.84,0.3,-0.02,0.22,2.11
KOTA CIREBON,-0.21,1.03,0.1,-0.13,0.04,0.13,0.08,1.26,1.14,0.12,0.01,0.49,2.83
KOTA BEKASI,-0.4,0.59,-0.18,-0.53,0.27,0.01,0.44,0.53,0.78,0.23,0.02,0.17,2.63
KOTA DEPOK,-0.23,-0.67,0.03,-0.22,0.01,0.01,0.58,0.56,1.27,0.05,-0.23,0.14,3.19
KOTA TASIKMALAYA,0.43,0.1,0.25,0.97,0.03,0.09,0.12,0.33,0.64,0.4,0.5,0.24,4.17
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,-0.33,0.52,0.6,-0.22,0.04,0.3,0.01,0.32,0.84,0.36,0.04,0.33,2.73
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,-0.17,0.67,0.28,-0.02,0.32,0.16,0.16,0.42,0.62,0.15,-0.29,0.28,3.66
KOTA SEMARANG,-0.09,0.13,0.67,-0.17,0.09,0.14,0.46,0.32,1.17,0.41,-0.27,0.27,5.83
KOTA TEGAL,0.09,0.97,-0.01,0.15,0.51,0.38,0.46,0.46,2.21,-0.13,0.08,0.52,2.93
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.09,0.32,0.18,-0.34,0.27,0.18,0.32,0.77,0.8,-0.03,0.09,0.24,3.6
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,-0.1,0.63,0.5,-0.87,0.41,0.63,0.02,0.15,0.99,0.52,0.14,0.69,3.39
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,-0.15,0.38,0.03,-0.6,0.42,0.33,0.4,0.73,0.75,-0.54,0.53,0.43,4.57
KOTA KEDIRI,0.12,0.31,0.47,-0.49,0.05,0.45,0.43,0.4,1.2,0.1,-0.13,0.63,3.4
KOTA MALANG,0.28,0.39,0.61,-0.21,0.04,0.32,0.31,0.43,0.62,0.21,-0.15,0.48,3.55
KOTA PROBOLINGGO,0.16,0.54,-0.1,-0.5,0.1,0.47,0.09,0.71,1.03,0.35,0.19,0.46,2.49
KOTA MADIUN,-0.01,0.91,0.11,-0.47,-0.03,0.51,0.29,0.39,0.84,-0.02,0.6,0.25,3.11
KOTA SURABAYA,-0.18,0.96,0.28,-0.44,-0.2,0.22,0.25,0.52,1.2,0.16,0.05,0.52,3.39
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.29,-0.03,0.07,-0.27,0.17,0.03,0.03,0.6,1.4,0.19,0.31,-0.3,1.3
KOTA CILEGON,-0.09,0.39,0.32,-0.63,0.63,0.36,0.31,0.51,1.07,0.3,0.01,-0.1,1.93
KOTA SERANG,0.27,0.58,-0.2,0.48,0.71,0.12,0.6,0.7,1.29,0.14,-0.08,-0.12,4.11
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,-0.21,0.98,1.35,-0.61,-0.17,0.17,0.38,0.5,0.88,0.35,0.1,0.57,4.37
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,0.61,0.37,0.79,-0.92,-0.92,0.4,0.47,0.74,2.24,-0.77,-0.52,0.65,3.14
KOTA BIMA,0.59,0.74,1.07,-0.38,-0.7,-0.04,0.54,0.68,0.83,0.25,0.21,0.24,4.09
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,0.91,0.84,-1.34,0.7,1.58,-1.16,1.36,0.88,1.19,0.63,0.4,-0.83,5.22
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,1.18,-0.73,0.4,0.25,-0.37,0.46,1.05,-0.3,2.01,1.25,0.12,1.01,6.49
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.97,1.15,-0.38,-0.26,0.09,0.68,1.29,0.76,1.43,-0.49,-1.04,0.66,4.91
KOTA SINGKAWANG,1.13,0.46,-1.2,-0.28,-0.25,-0.37,1.55,0.03,0.85,-0.6,-1.41,1.29,1.15
SAMPIT,-0.2,0.98,0.83,-1.17,0.42,-0.07,0.08,0.12,0.75,0.7,0.82,-0.43,1.39
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,-0.19,-0.55,0.09,0.06,-0.71,-0.24,0.21,0.06,1.01,0.72,0.58,0.34,2.85
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,-0.12,-0.03,0.45,-0.19,0.17,0.36,0.26,0.54,0.96,0.65,0.49,0.26,3.86
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,-0.53,0.21,0.35,0.13,0.07,0.1,1.17,0.66,0.7,0.2,0.17,0.31,4.06
KOTA SAMARINDA,-0.44,1.62,0.31,0.25,-0.08,0.24,-0.18,0.78,1.2,0.12,-0.09,0.26,3.6
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.24,0.2,0.08,0.09,-0.19,1.44,0.99,0.97,1.53,-0.74,0.64,1.76,7.21
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,-1.35,1.25,1.29,-1.32,-0.64,-0.12,0.46,0.65,-0.36,0.83,1.27,0.38,2.31
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.4,0.33,1.04,-0.85,0.35,0.15,0.98,1.56,0.77,-1.17,1.16,0.88,5.73
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,0.33,0.89,0.91,-0.25,0.3,0.79,-0.4,1.38,1.85,-0.13,0.39,0.61,6.84
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,0.06,0.68,0.1,-0.44,-0.36,-0.34,0.41,1.21,0.89,0.22,0.29,0.49,3.24
KOTA PARE-PARE,0.29,0.18,-0.07,-0.35,-0.06,-0.12,0.49,0.6,0.75,-0.25,0.37,-0.44,1.4
KOTA PALOPO,-0.42,0.35,1.21,0.99,-0.65,-0.45,0.4,0.91,0.68,0.49,0.4,0.21,4.18
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,1.98,0.19,0.79,0.93,-0.39,-0.87,0.54,0.41,1.23,0.37,-0.77,0.11,4.6
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,0.65,0.88,0.77,-0.05,0.48,0.15,0.3,0.5,0.05,0.44,0.91,-0.82,4.35
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,-0.85,0.15,0.35,0.12,-0.14,0.08,-0.18,0.6,1.02,-0.29,0.07,0.84,1.78
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,1.22,0.71,0.32,0.4,-0.11,-2.7,1.1,1.27,-0.55,0.76,0.5,3.49,6.48
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,0.41,0.07,0.77,0.89,-0.09,-1.07,0.19,0.29,0.83,0.18,0.42,0.94,3.88
MANOKWARI,3.84,0.02,-0.33,0.07,0.22,0.07,0.18,2,0.21,-0.53,0.09,1.52,7.52
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,-0.14,0.07,0.84,-0.78,0.05,1.25,2.19,-0.08,-0.98,0.45,0.05,0.36,2.61
KOTA JAYAPURA,-1.27,-0.44,1.67,-0.03,-1.31,1,-0.56,0.81,1.29,-0.64,1.12,0.31,1.92
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,-0.07,0.21,0.22,-0.31,0.04,0.11,0.45,0.56,1.05,0.19,-0.03,0.33,2.78
