Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA PALOPO,0.82,0.87,-0.25,0.22,-0.14,1.39,0.05,0.05,-0.04,-0.01,0.02,0.93,3.95
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.88,0.49,-0.24,-0.13,0.68,3.58,0.46,-1.48,-0.76,-0.81,-0.34,0.68,2.96
KOTA BAU-BAU,0.45,-0.15,0.02,-0.67,0.17,2.32,2.44,-1.76,0.14,-1.08,0.41,0.74,3
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,1.28,0.32,0.04,-0.12,0.19,1.82,1.03,-0.97,0.1,-0.36,0.17,0.79,4.34
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,0.59,1.07,-0.29,0.06,0.27,0.99,0.06,0.42,0.01,-0.48,0.45,0.59,3.79
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,0.28,-0.74,1.13,-0.76,0.2,2.91,0.86,-2.08,-0.23,-1.28,-0.59,0.34,-0.05
KOTA TUAL,0.1,1.03,0.78,0.16,0.96,4.48,2.29,-2.05,1.59,1.05,-2.74,1.54,9.41
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,0.63,0.03,-0.31,0.36,0.2,1.55,0.8,-1.51,-0.51,0.52,-1.06,1.29,1.97
MANOKWARI,0.09,-0.57,0.05,-0.29,0.6,1.73,0.5,-1.3,1.09,-0.36,-0.02,0.27,1.78
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.86,0.13,0.38,-0.26,-0.51,1.03,0.53,-0.4,-0.12,-0.3,-0.19,0.18,1.33
KOTA JAYAPURA,0.12,-0.77,0.95,0.73,-0.17,1.02,-1.13,0.22,-0.64,-0.09,-0.09,2.28,2.41
MERAUKE,1.02,0.4,1.24,-0.42,0.23,0.12,-1.5,-0.88,-0.64,0.47,0.27,0.97,1.25
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.97,0.23,-0.02,0.09,0.39,0.69,0.22,-0.07,0.13,0.01,0.2,0.71,3.61
