Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA DUMAI,0.72,-0.32,-0.13,0.52,0.2,1.87,2.94,-0.26,-0.44,0.41,0.87,2.4,9.05
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,1.95,-0.36,-0.05,-0.02,0.01,3.23,2.09,-0.66,0.94,-0.02,1.18,1.83,10.52
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.61,0.28,-0.31,0.01,0.22,0.95,1.4,0.07,1.01,-0.06,1.16,0.54,6.02
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.82,0.11,-0.57,0.23,-0.39,2.31,3.03,-0.39,1.22,-1.03,1.06,1.41,9.08
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.49,0.54,-0.87,0.86,0.24,1.41,1.41,1.96,0.95,0.7,1.08,0.77,9.95
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,1.31,0.15,-0.09,-0.06,-0.27,0.73,2.37,1.23,1.5,-0.17,1.01,1.3,9.36
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,1.26,0.19,0.25,0.03,0.22,1.42,0.89,0.84,0.03,1.02,0.41,0.61,7.4
KOTA TANJUNG PINANG,0.45,0.64,-0.28,0.08,0.45,1.58,0.12,1.77,-0.23,-0.02,1.22,0.26,6.17
DKI JAKARTA,0.72,0.14,0.07,0.22,0.25,0.73,1.12,0.99,0.51,0.22,0.33,0.76,6.21
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.7,0.14,0.26,0.65,0.02,0.75,1.63,0.71,0.38,0.09,0.72,0.33,6.57
KOTA SUKABUMI,0.83,0.13,-0.34,0.1,0.42,0.49,0.77,1.95,0.23,0.06,0.21,0.48,5.43
KOTA BANDUNG,0.55,0.26,0.03,0.14,0.09,0.25,1.26,0.51,0.43,-0.09,0.54,0.48,4.53
KOTA CIREBON,0.84,0.07,-0.54,0.07,0.22,0.95,1.17,1.33,0.98,0.14,0.79,0.5,6.7
KOTA BEKASI,1.1,0.65,-0.48,0.07,0.27,1.74,2.16,0.6,0.07,-0.09,0.53,1.02,7.88
KOTA DEPOK,0.63,0.36,-0.24,0.3,0.53,1.38,1.44,0.8,0.26,0.25,1.08,0.9,7.97
KOTA TASIKMALAYA,1.02,0.61,-0.3,0.02,0.06,0.74,0.88,0.64,0.27,-0.02,0.73,0.77,5.56
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,1,0.45,-0.34,0.05,0.25,0.92,1.21,0.6,0.38,0.28,0.56,0.52,6.04
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,0.63,0.29,-0.24,0.19,0.16,1.23,1.34,0.16,0.4,0.1,0.47,1.75,6.65
KOTA SEMARANG,0.75,0.47,-0.2,0.37,0.02,0.84,1.73,0.53,1.04,0.02,0.63,0.7,7.11
KOTA TEGAL,0.7,0.18,-0.26,0.09,0.06,1.33,0.84,0.52,1.27,0.06,0.67,1.09,6.73
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.57,0.31,0.13,0.25,0.14,1.26,1.4,0.43,1.06,0.28,0.62,0.72,7.38
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,0.3,0.04,-0.35,0.35,0.33,1.31,1.6,0.34,0.4,0.2,0.56,1.82,7.09
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.64,0.07,-0.19,0.1,0.64,0.7,2.13,0.55,0.97,-0.7,0.61,1.06,6.75
KOTA KEDIRI,0.77,0.57,-0.71,0.26,0.42,1.27,1.17,0.36,0.69,0.03,0.66,1.13,6.8
KOTA MALANG,0.79,0.37,-0.17,0.14,0.35,0.74,1.71,0.79,0.05,0.19,0.68,0.88,6.7
KOTA PROBOLINGGO,0.71,0.46,-0.45,0.02,0.81,0.98,2.94,0.43,0.08,0.02,0.06,0.46,6.68
KOTA MADIUN,0.94,0.07,-0.18,0.23,0.28,0.64,1.9,0.21,0.26,0.18,0.94,0.89,6.54
KOTA SURABAYA,0.5,0.25,-0.12,0.15,0.38,0.76,1.99,1.23,0.67,0.02,0.44,0.85,7.33
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.44,0.77,-0.47,0.1,0.13,1.09,0.99,1.09,0.36,0.61,0.3,0.51,6.08
KOTA CILEGON,0.91,0.28,-0.32,0.34,0.16,1.1,1.17,0.28,0.24,0.49,0.61,0.7,6.12
KOTA SERANG,0.87,0.06,-0.62,0.03,0.37,1.46,0.82,0.4,0.31,0.13,0.99,1.19,6.18
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,0.95,0.55,-0.08,-0.19,0.7,0.74,2.33,1.19,0.22,-0.08,0.57,0.94,8.1
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,2.09,0.33,-0.1,-0.33,0.85,2.17,2.68,0.05,0.59,0.39,0.28,1.61,11.07
KOTA BIMA,0.62,1.2,-0.3,0.42,0.06,0.67,1.16,0.87,0.19,-0.42,0.37,1.36,6.35
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,3.56,-1.3,-0.09,0.1,1.51,0.89,0.92,0.68,1.38,-0.2,-0.29,1.09,8.48
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,3.08,0.32,-0.16,0.94,0.84,0.45,2.79,0.08,0.2,-0.18,0.33,0.91,9.97
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,1.23,0.6,0.66,0.11,-0.28,0.21,2.89,0.85,0.95,-0.15,0.29,0.9,8.52
KOTA SINGKAWANG,1.59,0.23,1.7,-0.08,-0.52,0.73,2.5,1.47,0.58,-1.65,0.3,0.11,7.1
SAMPIT,0.41,0.96,0.24,-0.19,1.26,0.94,1.6,0.39,0.65,1.01,0.68,1.2,9.53
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.86,0.24,0.23,0.3,0.62,1.28,2.33,0.29,0.99,-0.59,1.4,1.2,9.49
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,0.59,0.13,0.76,1.09,1.05,0.7,1.89,0.35,0.6,-0.27,0.65,1.17,9.06
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.07,0.83,0.62,0.26,0.12,0.38,2.78,0.92,0.39,-0.89,-0.04,0.72,7.38
KOTA SAMARINDA,0.6,0.76,0.7,0.18,0.13,0.43,1.98,0.42,0.84,-0.5,0.79,0.46,7
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,1.42,1.82,-0.36,-2.08,-0.36,0.67,0.59,2.76,1.8,-0.81,0.5,1.79,7.92
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,0.41,0.49,-0.18,-0.08,1.37,-1.07,2.1,1.22,0.45,-0.7,0.64,1.5,6.28
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.12,-0.1,-0.65,-0.13,0.96,0.83,1.17,2.75,0.94,-1.84,0.52,1.73,6.4
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,1.39,0.53,-0.5,-0.32,0.57,0.23,1.65,2.25,0.82,-0.82,0.14,0.65,6.74
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,1.3,0.1,-0.39,-0.49,0.65,0.46,2.11,1.53,0.4,-0.45,0.27,1.15,6.82
KOTA PARE-PARE,1.27,-0.37,-0.42,-0.8,0.6,0.81,1.49,1.54,0.29,-0.96,0.93,1.32,5.79
KOTA PALOPO,0.63,-0.12,0.23,-0.44,0.22,0.24,1.16,1.4,0.46,-0.97,0.44,0.69,3.99
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.57,-0.78,0.01,0.31,0.46,-0.06,2.19,1.98,-0.42,-0.52,-0.15,0.28,3.87
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,0.38,1.68,-0.47,-0.87,0.43,0.2,1.45,3.75,0.36,-1.14,0.93,0.59,7.43
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,1.74,-0.49,-0.39,-1.14,0.4,1.36,0.57,0.77,0.23,0.86,0.91,0.24,5.12
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,3.23,-0.65,0.27,-0.51,-0.07,0.85,1.28,2.4,0.95,-0.29,-0.24,1.3,8.78
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,1.53,-0.07,0.33,-1.19,0.12,-0.19,1.21,1.94,-0.57,0.01,0.98,1.15,5.32
MANOKWARI,0.17,-0.62,0.02,2.04,-1.61,1.18,1.9,0.45,-0.46,-0.85,-0.25,2.71,4.68
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.12,0.91,0.31,0.99,0.7,0.14,2.88,1.61,0.92,-0.05,0.67,-1.3,8.13
KOTA JAYAPURA,1.28,-0.52,0.56,-0.51,0.71,0.84,0.24,0.52,0.59,-1.52,0.37,1.87,4.48
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.84,-0.08,-0.14,0.15,0.29,0.97,1.57,0.76,0.44,0.06,0.6,0.92,6.96
