Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,119.83,119.4,119.34,119.32,119.33,123.18,125.76,124.93,126.1,126.08,127.57,129.91,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,118.79,119.12,118.75,118.76,119.02,120.15,121.83,121.92,123.15,123.08,124.51,125.18,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,122.18,122.32,121.62,121.9,121.43,124.24,128.01,127.51,129.06,127.73,129.08,130.9,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,123.84,124.51,123.43,124.49,124.79,126.55,128.34,130.86,132.1,133.02,134.46,135.5,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,123.24,123.43,123.32,123.25,122.92,123.82,126.75,128.31,130.24,130.02,131.33,133.04,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,113.85,114.07,114.36,114.39,114.64,116.27,117.3,118.28,118.32,119.53,120.02,120.75,-
KOTA TANJUNG PINANG,118.92,119.68,119.34,119.43,119.97,121.87,122.02,124.18,123.89,123.86,125.37,125.69,-
DKI JAKARTA,116.56,116.72,116.8,117.06,117.35,118.21,119.53,120.71,121.32,121.59,121.99,122.92,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,119.33,119.5,119.81,120.59,120.62,121.53,123.51,124.39,124.86,124.97,125.87,126.29,-
KOTA SUKABUMI,119.29,119.44,119.03,119.15,119.65,120.24,121.16,123.52,123.8,123.87,124.13,124.73,-
KOTA BANDUNG,115.71,116.01,116.05,116.21,116.31,116.6,118.07,118.67,119.18,119.07,119.71,120.29,-
KOTA CIREBON,123.03,123.11,122.44,122.53,122.8,123.97,125.42,127.09,128.33,128.51,129.53,130.18,-
KOTA BEKASI,116.14,116.89,116.33,116.41,116.72,118.75,121.32,122.05,122.14,122.03,122.68,123.93,-
KOTA DEPOK,116.12,116.54,116.26,116.61,117.23,118.85,120.56,121.53,121.85,122.16,123.48,124.59,-
KOTA TASIKMALAYA,121.09,121.83,121.47,121.5,121.57,122.47,123.55,124.34,124.68,124.65,125.56,126.53,-
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,117.92,118.45,118.05,118.11,118.41,119.5,120.94,121.67,122.13,122.47,123.16,123.8,-
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,111.99,112.32,112.05,112.26,112.44,113.82,115.35,115.53,115.99,116.11,116.65,118.69,-
KOTA SEMARANG,117.12,117.67,117.43,117.86,117.88,118.87,120.93,121.57,122.83,122.86,123.64,124.51,-
KOTA TEGAL,119.77,119.99,119.68,119.79,119.86,121.45,122.47,123.11,124.67,124.74,125.58,126.95,-
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,117.3,117.66,117.81,118.1,118.26,119.75,121.43,121.95,123.24,123.58,124.35,125.25,-
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,118.88,118.93,118.51,118.92,119.31,120.87,122.8,123.22,123.71,123.96,124.66,126.93,-
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,114.93,115.01,114.79,114.9,115.63,116.44,118.92,119.58,120.74,119.9,120.63,121.91,-
KOTA KEDIRI,117.15,117.82,116.98,117.28,117.77,119.26,120.65,121.08,121.92,121.96,122.76,124.15,-
KOTA MALANG,117.94,118.38,118.18,118.34,118.75,119.63,121.68,122.64,122.7,122.93,123.76,124.85,-
KOTA PROBOLINGGO,120.76,121.32,120.77,120.8,121.78,122.97,126.59,127.13,127.23,127.25,127.33,127.92,-
KOTA MADIUN,122.22,122.31,122.09,122.37,122.71,123.49,125.84,126.11,126.44,126.67,127.86,129,-
KOTA SURABAYA,115.67,115.96,115.82,115.99,116.43,117.31,119.64,121.11,121.92,121.95,122.49,123.53,-
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,119.03,119.95,119.39,119.51,119.66,120.96,122.16,123.49,123.94,124.7,125.08,125.72,-
KOTA CILEGON,119.72,120.06,119.67,120.08,120.27,121.59,123.01,123.36,123.65,124.26,125.02,125.9,-
KOTA SERANG,123.35,123.43,122.67,122.71,123.17,124.97,125.99,126.5,126.89,127.06,128.32,129.85,-
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,117.43,118.08,117.98,117.76,118.59,119.47,122.25,123.7,123.97,123.87,124.58,125.75,-
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,122.01,122.41,122.29,121.89,122.92,125.59,128.96,129.02,129.78,130.28,130.64,132.74,-
KOTA BIMA,124.54,126.04,125.66,126.19,126.26,127.1,128.57,129.69,129.93,129.39,129.87,131.63,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,130.49,128.79,128.67,128.8,130.75,131.91,133.13,134.04,135.89,135.62,135.23,136.7,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,124.34,124.74,124.54,125.71,126.76,127.33,130.88,130.99,131.25,131.02,131.45,132.64,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,122.02,122.75,123.56,123.69,123.34,123.6,127.17,128.25,129.47,129.27,129.64,130.81,-
KOTA SINGKAWANG,119.76,120.04,122.08,121.98,121.34,122.22,125.27,127.11,127.85,125.74,126.12,126.26,-
SAMPIT,116.2,117.32,117.6,117.38,118.86,119.98,121.9,122.37,123.16,124.4,125.25,126.75,-
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,118.81,119.09,119.36,119.72,120.46,122,124.84,125.2,126.44,125.69,127.45,128.98,-
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,120.11,120.27,121.19,122.51,123.8,124.67,127.03,127.48,128.24,127.89,128.72,130.22,-
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,119.82,120.82,121.57,121.89,122.04,122.5,125.91,127.07,127.57,126.44,126.39,127.3,-
KOTA SAMARINDA,122.33,123.26,124.12,124.34,124.5,125.04,127.52,128.06,129.14,128.49,129.51,130.11,-
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,133.25,135.68,135.19,132.38,131.91,132.8,133.58,137.27,139.74,138.61,139.3,141.8,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,118.35,118.93,118.72,118.62,120.25,118.96,121.46,122.94,123.49,122.63,123.42,125.27,-
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,121.1,120.98,120.19,120.03,121.18,122.19,123.62,127.02,128.22,125.86,126.51,128.7,-
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,131.23,131.93,131.27,130.85,131.59,131.89,134.07,137.08,138.2,137.07,137.26,138.15,-
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,118.94,119.06,118.59,118.01,118.78,119.33,121.85,123.71,124.21,123.65,123.99,125.42,-
KOTA PARE-PARE,122.7,122.25,121.74,120.76,121.48,122.46,124.29,126.2,126.56,125.34,126.5,128.17,-
KOTA PALOPO,127.91,127.76,128.06,127.5,127.78,128.09,129.57,131.39,131.99,130.71,131.28,132.18,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,123.55,122.59,122.6,122.98,123.54,123.46,126.16,128.66,128.12,127.45,127.26,127.61,-
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,118.77,120.77,120.2,119.15,119.66,119.9,121.64,126.2,126.65,125.2,126.37,127.11,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,123.48,122.87,122.39,120.99,121.48,123.13,123.83,124.78,125.07,126.14,127.29,127.59,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,121.68,120.89,121.22,120.6,120.52,121.54,123.09,126.05,127.25,126.88,126.57,128.22,-
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,122.22,122.13,122.53,121.07,121.22,120.99,122.45,124.82,124.11,124.12,125.34,126.78,-
MANOKWARI,132.15,131.33,131.35,134.03,131.87,133.43,135.97,136.58,135.95,134.79,134.45,138.1,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,134.01,135.23,135.65,136.99,137.95,138.14,142.12,144.41,145.74,145.67,146.64,144.73,-
KOTA JAYAPURA,119.03,118.41,119.07,118.46,119.3,120.3,120.59,121.22,121.94,120.09,120.54,122.8,-
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,118.01,118.36,118.19,118.37,118.71,119.86,121.74,122.67,123.21,123.29,124.03,125.17,-
