Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2012,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,143.03,145.51,144.77,144.6,143.58,144.75,145.79,146.69,147.01,146.33,146.32,147,-
KOTA BIMA,142.55,143.32,142.67,143.52,144,144.06,145.02,146.7,146.32,145.52,145.4,146.19,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,146.91,147.04,146.43,148.19,148.78,151.64,154.25,154.51,154.19,155.21,153.85,155.17,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,139.12,139.41,139.94,139.52,140.5,141.74,143.79,144.82,143.21,142.58,143.22,145.43,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,138.52,140.87,140.25,140.8,142.11,142.29,144.33,146.25,145.62,143.36,144.74,146.31,-
KOTA SINGKAWANG,136.61,137.97,137.37,138.3,137.98,139.15,141.28,143.38,140.26,139.57,139.55,140.41,-
SAMPIT,133.89,134.11,134.73,134.86,134.21,135.08,135.63,135.97,135.9,135.83,136.14,137.47,-
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,139.23,138.94,138.85,138.46,138.8,139.8,141.28,142.42,141.95,141.83,142.64,144.93,-
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,139.35,138.92,138.72,138.7,138.3,139.11,140.32,141.3,141.02,140.98,142.26,143.47,-
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,138.14,138.02,138.37,139.11,139.17,139.52,141.58,144.19,143.46,142.94,142.83,144.2,-
KOTA SAMARINDA,140.06,140.62,141.16,140.81,140.44,141.31,142.13,145.38,144.57,143.73,144.26,144.87,-
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,153.1,154.51,154.19,153.41,153.05,154.28,156.57,158.74,158.32,158.57,158.15,159.96,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,125.94,126.69,128.11,130.2,129.11,129.75,130.85,133.68,131.57,132.26,133.6,133.73,-
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,135.06,135,135.2,135.41,136.24,137.53,140.09,144.02,141.14,140.71,139.98,142.34,-
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,144.7,146.67,147.03,147.3,146.89,147.09,148.41,150.36,149.2,148.6,148.38,148.83,-
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,130.64,131.1,131.6,132.07,131.31,132.15,132.94,134.49,134.33,134.2,134.06,134.91,-
KOTA PARE-PARE,130.73,131,131.2,131.37,131.16,131.65,133.09,135.66,134.48,134.58,134.22,134.76,-
KOTA PALOPO,137.43,138.58,138.81,139.53,138.95,140.01,141.41,143.02,142.65,141.98,141.6,142.22,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,135.17,136.98,137.27,137.88,138.02,138.93,139.79,142.33,141.02,140.73,141.12,141.15,-
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,134.48,135.42,134.65,136.44,135.64,136.07,137.38,139.5,137.85,138,138.57,139.32,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
